,mean,min,max
0,106.50395,2.9579706,943.1618
1,71.04314,2.6713657,837.88934
2,32.649944,1.2449229,475.11877
3,41.61,1.954921,435.33716
4,35.786358,1.5268388,441.0965
5,40.071346,2.3194814,706.9182
6,56.026443,1.389324,808.461
7,62.885014,1.443341,972.18646
8,57.994854,1.443006,950.63855
9,56.68531,1.8361919,1485.506
10,68.57329,1.9704189,2047.8484
11,48.140057,1.7677782,902.3118
12,77.73541,1.6554512,2043.8817
13,79.830666,2.4188192,2160.1177
14,90.55544,2.4779317,1948.2177
15,78.829704,2.5196261,1668.4086
16,80.70621,2.950557,1629.9637
17,52.852993,3.009915,1329.6884
18,45.573452,2.4498675,1219.629
19,29.149313,2.7237358,326.0155
20,38.08153,3.1575933,1388.4545
21,37.628857,3.232274,1379.1865
22,44.248863,3.5895221,1419.6458
23,46.839603,3.1943355,1633.1879
24,71.44038,3.5311592,1580.8365
25,109.87803,4.626233,1996.0203
26,122.245834,3.9361198,3201.0977
27,115.08771,5.0966477,2438.8096
28,113.5105,4.4449596,2503.5898
29,114.83727,3.4105227,2939.5264
30,72.28466,3.5600839,3582.7268
31,59.50605,2.4729514,2943.3923
32,68.10766,3.305712,2572.1428
33,60.650642,3.0546422,2093.3987
34,39.671524,2.9649432,1064.8187
35,44.92856,2.8808966,1299.5106
36,49.97453,3.0265806,1456.5951
37,56.92815,2.526641,1831.3513
38,58.613663,1.7315131,3755.251
39,75.76393,2.8512917,2599.6301
40,68.81798,2.8552105,1936.167
41,82.550156,2.2797055,2009.4847
42,85.740555,2.8097641,2206.4937
43,90.58699,3.0170426,2183.202
44,67.95099,3.098889,2114.0142
45,73.69125,2.7855854,2058.6755
46,55.870304,3.064851,2007.123
47,57.066914,2.6516867,1356.4297
48,52.37342,2.5174987,1115.8527
49,63.920513,3.0316186,1423.3235
50,51.10674,2.68655,1034.7024
51,57.4343,2.4251037,1267.5356
52,49.836765,2.412057,1154.8397
53,45.624973,2.2072086,709.5391
54,46.881935,1.7618945,963.1603
55,70.190216,2.4604018,1043.3727
56,59.176308,1.9778093,1072.2257
57,53.27192,2.297742,1295.1401
58,38.03153,1.7476118,924.6555
59,42.810085,2.408632,1161.2416
60,41.879158,2.529851,948.9002
61,46.523727,2.2904606,944.4958
62,49.327393,2.6076236,991.6033
63,54.38799,2.4515777,862.7086
64,52.88747,2.619918,1232.8619
65,72.01857,1.5287348,2130.0032
66,65.931244,2.1767035,1616.1427
67,62.99039,2.6350217,1274.7991
68,51.73927,2.328148,992.86334
69,46.858368,1.5942656,902.06274
70,39.283554,1.7957518,678.16077
71,37.198864,2.5233088,814.0522
72,32.132782,2.6826475,782.695
73,32.234512,1.9973788,930.5168
74,35.59788,2.5091646,948.55743
75,37.963074,2.5129325,1009.4934
76,28.708427,1.785342,550.05084
77,32.959324,1.6045225,494.32196
78,40.61801,1.5418485,698.8917
79,31.125751,1.295074,415.87903
80,31.415504,1.789457,460.80005
81,33.99834,1.5100653,579.984
82,32.038612,1.9315917,724.8956
83,34.68264,2.2191706,758.80176
84,37.8329,1.8824875,758.18726
85,42.815266,2.3315115,535.98566
86,43.987717,2.793557,460.13254
87,54.62795,2.3647618,591.129
88,39.14846,2.711717,397.87793
89,55.526432,2.090013,995.7064
90,61.127403,2.0431228,782.7146
91,51.558903,2.2278185,946.6018
92,43.637783,3.8229668,701.8742
93,46.50691,2.5150912,721.3918
94,33.37092,2.5951128,567.9215
95,27.138044,2.864782,364.7222
96,25.562609,2.9232311,563.1837
97,20.8272,1.2432303,328.74664
98,18.56519,2.003045,259.57123
99,17.457104,1.8695719,215.20222
100,16.944738,2.2420416,164.83507
101,15.106588,2.0500293,287.11264
102,16.540071,1.750483,236.65987
103,19.046902,1.6933159,189.26532
104,15.410316,1.4521406,188.60405
105,15.231053,2.0116704,224.86253
106,18.547583,1.8472635,519.5351
107,16.28472,1.5013787,448.80795
108,15.102208,1.3425786,425.6741
109,15.320944,1.4001781,437.7427
110,15.7207775,1.7690322,373.7704
111,16.776907,2.1244137,298.40347
112,12.283577,1.8603804,236.58238
113,11.542228,1.6286325,241.78902
114,9.83455,1.3172882,217.87112
115,8.882306,1.2792435,168.07817
116,7.597459,1.0150436,142.23018
117,8.163184,0.954834,130.76074
118,6.84085,0.9464262,78.638466
119,6.7691464,0.80398107,82.09774
120,6.512918,0.6250535,112.42056
121,6.239366,0.9284879,129.71828
122,6.5718265,1.0140469,180.13689
123,6.6406884,0.86925566,94.0611
124,7.42842,0.81495047,98.40786
125,6.89222,0.8488672,89.174675
126,6.788404,1.0688796,87.17504
127,6.004117,0.6697353,72.8538
128,6.082419,0.47252083,64.09792
129,6.196269,0.7289846,171.70186
130,6.0742693,0.7140953,191.68082
131,6.178385,0.60401607,202.98152
132,6.1907406,0.45937425,277.15186
133,5.9883213,0.3860557,309.43045
134,5.951908,0.59670174,81.98332
135,6.330702,0.5508533,95.55561
136,5.6572323,0.42086947,106.25737
137,5.3169007,0.44644636,154.51102
138,5.227308,0.48329502,106.25406
139,4.76744,0.4177587,160.68724
140,4.1683626,0.43294296,79.6704
141,5.070635,0.2116667,988.10126
142,4.4834685,0.29453608,720.87335
143,4.409972,0.33017263,658.3858
144,4.23305,0.33003318,570.5386
145,4.7291284,0.26444197,529.3058
146,4.866107,0.1934651,665.206
147,4.4906025,0.19205777,585.2457
148,4.070548,0.1398824,651.297
149,4.1681957,0.1928477,760.8812
150,3.4635217,0.16401812,240.43417
151,3.0005465,0.14450686,280.02457
152,2.922966,0.128934,264.12885
153,3.3005593,0.11763671,289.1013
154,3.5663235,0.11224703,334.30014
155,3.9579098,0.19907339,500.80942
156,5.157319,0.18981785,1124.7089
157,4.9385114,0.20195463,598.37024
158,4.460372,0.18157232,547.2452
159,4.202093,0.13275078,560.158
160,4.0156984,0.1782459,527.0191
161,3.6829147,0.12733254,424.17188
162,3.2838893,0.09895788,370.55817
163,3.621927,0.12552409,391.82532
164,3.6738317,0.11239972,462.00552
165,3.600226,0.11880708,452.9539
166,3.393101,0.10864175,397.88412
167,2.735909,0.103604205,441.51508
168,2.7098713,0.14142743,303.37213
169,2.3193007,0.105736576,292.55447
170,2.545437,0.07967967,289.8705
171,2.6511662,0.10594635,455.3624
172,2.4525173,0.04909288,270.5382
173,2.1584244,0.04506611,237.78664
174,2.2210493,0.059589162,233.64998
175,2.3464506,0.05372434,221.57674
176,2.2541745,0.078765504,214.25223
177,2.3845718,0.06965877,162.567
178,2.267025,0.07146269,152.78462
179,2.1614738,0.084712856,139.1482
180,1.5953919,0.038577322,60.98818
181,2.7396004,0.062246658,1115.2312
182,2.7204056,0.08296362,1060.2334
183,2.8358471,0.069061264,1044.601
184,2.8294628,0.08463702,1042.7413
185,3.1395845,0.079865165,1078.217
186,1.9650337,0.123998806,79.657104
187,1.8890692,0.12606882,115.16865
188,1.8525892,0.14892924,52.873074
189,1.8618312,0.124746606,105.234955
190,1.506941,0.14043382,50.453396
191,2.5305257,0.11487247,897.4156
192,2.3377683,0.14556178,449.72626
193,2.106634,0.12605977,199.89742
194,2.4668543,0.15411115,191.5176
195,2.6651154,0.13054383,209.72838
196,1.4736375,0.15510029,117.23578
197,1.3490514,0.1483782,88.32093
198,1.3959699,0.12010334,120.433105
199,1.2039568,0.13233468,147.34578
200,1.1117874,0.12529206,60.333183
201,1.2448181,0.13412668,93.278656
202,1.1141274,0.111069754,95.64416
203,1.1794482,0.13368024,56.217766
204,0.83586895,0.10170236,20.66503
205,0.93107414,0.1120417,22.311764
206,0.9548153,0.14540242,31.61332
207,0.9274202,0.12834607,26.27972
208,0.98658794,0.09139319,26.146069
209,1.0223949,0.1146039,26.499416
210,0.89701873,0.12466672,24.962297
211,0.8432343,0.11334923,15.580703
212,0.9129585,0.12458336,25.4967
213,0.9299989,0.116249084,27.295395
214,0.99087065,0.112079635,21.257887
215,0.94644433,0.11621831,14.848458
216,0.8347024,0.14521801,12.225366
217,0.9033415,0.10933006,20.782698
218,1.8194827,0.1522094,137.62956
219,2.1504579,0.17207038,170.1396
220,2.0377421,0.15641737,151.99727
221,2.2154768,0.13997489,162.4103
222,2.2147977,0.17872137,127.61688
223,1.5046664,0.13767871,40.4002
224,1.059418,0.13291198,23.512783
225,0.7472414,0.086225785,20.30502
226,0.7271767,0.113132685,17.104452
227,0.7070658,0.11113939,10.528596
228,0.8283141,0.108473614,28.782017
229,0.7302063,0.08541082,19.189686
230,0.7635318,0.09225196,15.330288
231,0.7527845,0.10992491,16.221458
232,0.7732643,0.09565431,19.337563
233,0.77926946,0.08411597,20.335684
234,0.84861666,0.081009515,18.696081
235,1.0366474,0.08707146,26.042828
236,0.8316287,0.102462694,21.249548
237,0.7138131,0.07152667,22.618061
238,0.66389817,0.071980916,15.049657
239,0.61280507,0.058335107,14.141819
240,0.61048687,0.0708855,15.250277
241,0.6699794,0.09243419,13.16784
242,0.63298935,0.094150886,13.500356
243,0.5806691,0.09141294,10.752765
244,0.62520456,0.096738845,11.295458
245,0.6544671,0.077443734,14.863854
246,0.9598917,0.074655145,49.47993
247,0.99600947,0.07032878,31.99068
248,1.1085541,0.062268544,49.260654
249,1.0708059,0.07764134,31.585102
250,1.2315116,0.041018613,28.164597
251,0.91280323,0.06828843,29.878695
252,0.8496241,0.06707819,122.09933
253,0.73972446,0.10451387,50.942173
254,0.62108105,0.10066101,22.094435
255,0.57125086,0.11525537,16.828533
256,0.6011132,0.13891998,16.727259
257,0.60265106,0.112469964,9.944261
258,0.62328917,0.10270654,22.345083
259,0.63492,0.14163442,11.50759
260,0.658641,0.10246046,14.367342
261,0.5835311,0.11500037,12.865439
262,0.5788312,0.07932298,8.939879
263,0.51844496,0.08717782,6.9041433
264,0.844748,0.09219136,52.201237
265,0.77401376,0.097088896,12.7031975
266,1.197992,0.09498431,32.514027
267,1.448041,0.11392063,56.17781
268,1.6510574,0.12764555,47.89676
269,0.841672,0.10966554,14.4336195
270,0.7992231,0.12034124,13.609175
271,0.7670021,0.09876477,13.716873
272,0.7644791,0.11163195,15.479768
273,0.70090985,0.09256478,16.107872
274,0.73983437,0.10787441,19.770075
275,0.73275596,0.09597239,24.242744
276,0.7884011,0.07960252,23.650372
277,0.7257691,0.098690584,21.14393
278,0.76055306,0.09892494,17.397823
279,0.73488265,0.11378877,21.146982
280,0.7758398,0.11578486,23.744337
281,0.72562623,0.09386058,12.042356
282,0.68981004,0.11575174,14.599474
283,0.67066836,0.0886932,10.234984
284,0.7472978,0.07304017,12.920077
285,0.71739954,0.091231644,15.160108
286,1.2735057,0.092550956,78.38161
287,1.3105843,0.064691894,129.1067
288,1.4428602,0.06403619,154.18372
289,2.0162973,0.10283268,330.70847
290,1.7870936,0.09743458,160.19267
291,1.0011199,0.097107,94.30702
292,1.316705,0.095042855,188.6576
293,1.7987815,0.10508496,234.16547
294,1.7310642,0.06285527,229.46332
295,1.4894118,0.09879533,189.54918
296,1.4680319,0.08074697,219.22908
297,1.0012791,0.0692363,21.92503
298,0.87777597,0.06722249,18.888464
299,1.0726451,0.09072889,23.818184
300,1.2870309,0.14695776,24.275562
301,0.77927446,0.1537838,9.878489
302,0.81092864,0.1587348,35.825848
303,1.7560122,0.080040164,317.91785
304,1.7287668,0.13310617,279.83966
305,1.6837283,0.13689628,236.11041
306,2.4683352,0.11806735,216.96169
307,2.8245103,0.116923824,262.0437
308,2.641673,0.13830882,224.93987
309,2.7285345,0.124234684,202.03426
310,2.994901,0.16086335,205.3198
311,1.9910686,0.09967584,125.01728
312,1.7270116,0.0703723,57.156624
313,1.1527429,0.0610614,46.01951
314,1.0879881,0.08417188,37.013554
315,0.9313089,0.08605261,21.277128
316,1.3560681,0.078208245,70.05909
317,1.4912322,0.09981188,92.560715
318,1.3672172,0.112359986,40.978188
319,1.5592581,0.1090488,85.56492
320,1.7176894,0.117933415,79.9519
321,4.3016896,0.07565922,1408.6378
322,4.031601,0.12126298,1356.3486
323,3.9951499,0.09612949,1324.2804
324,4.4034195,0.11488217,1292.5096
325,4.739315,0.12598383,1309.8969
326,2.6472652,0.099739656,264.27304
327,2.6314073,0.09684221,301.74832
328,2.4968917,0.105287544,312.64417
329,1.656107,0.06697301,128.31528
330,1.5575689,0.07137489,131.611
331,2.1545637,0.10954279,105.18797
332,1.9828306,0.08871889,87.37642
333,3.3251314,0.09622873,771.97797
334,2.8005216,0.09023414,486.05484
335,3.0041494,0.094668224,433.5966
336,2.384276,0.10783624,230.7503
337,1.836345,0.12270815,115.50773
338,1.4065963,0.10731047,54.740185
339,1.3192841,0.07117156,28.73586
340,1.2282482,0.08360415,22.466661
341,1.3894718,0.079851665,91.96964
342,1.3405038,0.0917912,91.96399
343,1.6523324,0.10528684,201.21475
344,1.8831772,0.09618428,116.93132
345,1.7599298,0.09880069,107.04752
346,1.5813093,0.069835715,77.70805
347,1.5320432,0.10385731,73.69203
348,1.3063899,0.08572932,42.402023
349,1.3537245,0.24323647,29.961008
350,1.5379277,0.16336468,59.071365
351,1.6876366,0.325303,63.141037
352,1.8276285,0.24438368,54.35838
353,4.085456,0.2914863,869.7983
354,3.9823487,0.21574602,748.4813
355,3.5862486,0.10047739,648.5263
356,3.3164148,0.13554083,648.94904
357,3.1324995,0.112311244,605.0853
358,1.4898865,0.09105334,56.63678
359,1.2138386,0.110027224,46.39472
360,1.0341749,0.11138853,26.38683
361,1.0188824,0.07807664,15.6730795
362,0.95271164,0.07675456,25.910994
363,0.99138194,0.09262389,26.551224
364,0.968013,0.1037482,36.18235
365,0.9197683,0.08178884,20.146482
366,0.7766667,0.08473522,12.549812
367,0.6984756,0.09208628,19.834215
368,0.7539056,0.08769367,13.29698
369,3.1563137,0.08801846,1275.4497
370,2.6871438,0.11836026,1010.9876
371,2.5078554,0.100485615,828.7528
372,3.565719,0.11954334,713.49817
373,3.909831,0.20697373,587.073
374,3.1938655,0.21055253,191.73753
375,4.1779666,0.23275335,396.27066
376,3.8337762,0.16389123,397.7199
377,2.7044544,0.15947953,395.66254
378,1.8014381,0.11473093,340.5041
379,1.5836749,0.15014893,325.16046
380,0.8979033,0.12478251,19.582287
381,0.70069957,0.0819302,24.55838
382,0.68002236,0.12613663,10.404817
383,0.8298296,0.11448575,31.039738
384,2.3759146,0.12268052,873.2585
385,2.244648,0.101583004,536.56433
386,2.145257,0.093012884,314.9979
387,2.0806112,0.072581016,179.83792
388,1.9744185,0.10301879,208.38504
389,1.5527158,0.117917776,93.52315
390,1.536756,0.077836104,92.069954
391,1.6118599,0.1623348,78.26258
392,1.7718421,0.17129943,91.642715
393,2.2774916,0.17155862,158.9705
394,1.9050072,0.1749825,92.839455
395,1.9358625,0.1303707,151.66931
396,2.0487423,0.21066086,128.24896
397,1.6908813,0.15896872,62.171425
398,1.3690234,0.13968527,40.856125
399,1.1052276,0.100238025,20.09576
400,1.0745348,0.10933671,19.518908
401,0.95788974,0.114113495,26.49292
402,0.98871833,0.114887215,24.183031
403,0.9682174,0.13709584,20.498922
404,1.2061437,0.16892745,35.42508
405,1.2797127,0.190264,62.396614
406,1.2650477,0.18446104,24.485136
407,1.2530196,0.16805863,30.852434
408,0.985834,0.09533858,17.203146
409,0.97786397,0.14409664,12.236974
410,0.9873695,0.12245938,19.639376
411,1.3637428,0.15586501,33.16481
412,1.1896971,0.14938268,28.082714
413,1.533881,0.09226735,48.941624
414,1.6566502,0.10887545,66.20324
415,1.9036294,0.108332604,87.131386
416,3.61091,0.14295636,1101.7892
417,3.6663098,0.16678178,750.762
418,5.5307984,0.14437957,1493.0658
419,5.1443396,0.1319806,1440.6041
420,4.6433477,0.10744838,1440.419
421,3.5790157,0.09757373,1466.1025
422,3.3386488,0.1144461,1402.7245
423,0.8241075,0.10302954,13.745048
424,3.1415336,0.10846341,1391.759
425,2.9731655,0.08913175,1392.8171
426,3.0245895,0.09286683,1268.0856
427,3.1195116,0.1011827,1227.7004
428,3.0622497,0.14045683,1179.4408
429,2.9359345,0.12579277,814.3101
430,3.0028834,0.10676719,454.10187
431,4.3996096,0.17886364,631.4218
432,4.121509,0.14027348,510.42337
433,4.1139264,0.15509206,464.7238
434,2.4367406,0.13133505,391.7479
435,2.0006444,0.12880602,319.6289
436,1.1401452,0.1516711,25.604515
437,1.0863302,0.16581765,20.540834
438,0.9692395,0.17447454,21.366468
439,1.6201494,0.18316692,237.60738
440,1.6412519,0.15675108,148.05423
441,1.5612577,0.18149489,98.73151
442,1.5209854,0.1957065,66.03544
443,1.41002,0.12255405,96.33871
444,3.6266227,0.16255152,1485.8568
445,3.522693,0.14164978,1377.5239
446,6.0810413,0.11926606,1512.4161
447,5.7631216,0.09789271,1319.948
448,5.405069,0.07195774,1326.9288
449,3.0763218,0.08328116,1185.5892
450,2.8942096,0.077516235,1189.5787
451,0.7921911,0.08517736,11.867285
452,0.8032664,0.06913491,14.524241
453,1.5017533,0.11762727,324.0154
454,1.6499952,0.15023725,109.047325
455,2.366299,0.23149197,141.13367
456,2.5543537,0.25831765,128.63393
457,4.4452405,0.08657369,1227.3362
458,5.7485476,0.21735285,1324.3655
459,5.664545,0.2925855,1275.7637
460,5.129136,0.2844575,1209.8514
461,4.868296,0.2704937,1222.4946
462,4.6402054,0.25128597,1137.4359
463,2.605407,0.26202378,153.0567
464,4.148222,0.11622341,1175.7178
465,5.977704,0.25047278,1114.9463
466,6.1800814,0.2245903,1020.38873
467,5.758735,0.21691263,1027.0796
468,8.87546,0.20322989,1374.258
469,9.204704,0.25303763,1176.7128
470,6.8320885,0.19623378,1214.983
471,6.5547285,0.20365615,1178.4816
472,7.197501,0.28071374,1039.0485
473,5.2568846,0.20773768,941.3552
474,3.5085626,0.23018947,813.969
475,3.633113,0.16503967,758.80255
476,3.7918615,0.15816791,836.3105
477,4.076474,0.20017584,825.8069
478,3.7969856,0.15289769,858.6232
479,4.8875213,0.18290593,788.4856
480,6.038415,0.17193857,778.1462
481,5.5469904,0.1949303,759.2933
482,4.0515003,0.22786088,796.3919
483,5.1540885,0.16214219,877.9258
484,3.9141657,0.18027896,815.24084
485,2.1092904,0.15971397,259.78552
486,1.8062905,0.20163098,126.34993
487,1.9793351,0.16181314,100.46391
488,1.8275394,0.19273484,68.835556
489,1.6431046,0.119085215,48.070553
490,1.5180168,0.17206809,53.840427
491,1.3347528,0.1542471,60.93277
492,1.152946,0.12270696,51.088917
493,3.2321286,0.093137264,1253.0677
494,3.0727296,0.12709236,1113.9014
495,3.1425953,0.148012,1095.0066
496,3.1997073,0.15086818,1125.8019
497,4.082409,0.14835668,1145.8796
498,2.295202,0.1343887,144.90488
499,3.4684155,0.16439292,349.56732
